Biology Sample - Details,,,,,,,,,,,,,,,,,,,,,,,,
Lampung TEST - 2019,,,,,,,,,,,,,,,,,,,,,,,,
As of 19/09/2019 13:10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sample_date_time,monitor,vessel,location,first_receiver,species,scientific_name,code,berried_type,carapace_width,gonad_maturity_type,sex_type,weight,comments,create_date_time,created_by,update_date_time,updated_by,submit_date_time,validated,validation_date_time,validated_by,validation_comments,id,measurement_id
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,10,Not applicable,Male,56,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,69679cb7-4ec8-4e6f-ae85-f758492184eb
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,11.5,Not applicable,Male,96,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,3c59264f-dd75-49e4-8187-f575430e39ef
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,15.5,Not applicable,Male,324,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,2cf2b9f1-0108-405f-a57a-a139ea176a5c
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,7",Not applicable,Male,107,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,efc91413-2581-46d0-9446-d3cb36fc27fb
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"13,5",Not applicable,Male,217,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,69b5c046-f3bf-4bce-8530-9bcb883bcb49
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,6",Not applicable,Male,141,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,13f39cff-8419-4b49-acbe-d01e17490f9c
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"14,1",Mature,Female,191,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,429c146c-34f3-4860-8293-400e558e2afa
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"10,3",Mature,Female,68,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,fd1a09ca-60c9-479c-9704-e9d5c2d6e6a9
9/12/2019 13:00,Yadi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,14.2,Not applicable,Male,222,"nama kapal Y
pemilik Ato",9/13/2019 12:17,Yadi Monitor,9/13/2019 12:18,Yadi Monitor,9/13/2019 12:27,FALSE,,,,a84cae16-650f-4e47-baa9-376659acaa06,fbfc6a40-4f3d-4faa-80df-9dc5e07154a2
9/12/2019 13:00,Arbi Monitor,MGM - O,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"11,5",Not applicable,Male,106,,9/13/2019 11:55,Arbi Monitor,9/13/2019 11:56,Arbi Monitor,9/13/2019 12:05,FALSE,,,,754a3d7d-6667-4366-a305-e501a7fe738b,7d6e466b-5191-4678-9560-777bffe45e67
9/12/2019 13:00,Arbi Monitor,Unknown / Not listed,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,No,"14,5",Not applicable,Male,231,nama kapal : Y,9/13/2019 11:49,Arbi Monitor,9/13/2019 11:49,Arbi Monitor,9/13/2019 12:05,FALSE,,,,36db8168-3002-40bb-82d2-760492200adb,b1395110-dd73-4e0a-a286-f7df9b74ac42
9/12/2019 13:00,Yadi Monitor,MGM - C,MGM,First Receiver/Buyer,Blue swimming crab,Portunus pelagicus,,Not applicable,9,Not applicable,Male,46,,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:24,Yadi Monitor,9/13/2019 12:27,FALSE,,,,534026d1-6493-4c96-840d-947c3e5151c0,cdffe3f6-6b2d-4339-9380-be3d4500aa37
